"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 01 03:44:22 UTC 2024","Mon Apr 01 03:44:25 UTC 2024","2314","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Apr 01 03:20:00 UTC 2024","Mon Apr 01 03:20:13 UTC 2024","12827","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Apr 01 02:51:10 UTC 2024","Mon Apr 01 02:52:01 UTC 2024","51656","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Mon Apr 01 03:52:07 UTC 2024","Mon Apr 01 03:52:09 UTC 2024","2479","","6. Company Account","","","","6. Review Review Page",""
"passed","Mon Apr 01 04:48:51 UTC 2024","Mon Apr 01 04:49:01 UTC 2024","10021","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Mon Apr 01 02:45:28 UTC 2024","Mon Apr 01 02:45:43 UTC 2024","14983","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Apr 01 02:45:43 UTC 2024","Mon Apr 01 02:45:54 UTC 2024","10956","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Mon Apr 01 04:43:14 UTC 2024","Mon Apr 01 04:43:15 UTC 2024","1383","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Mon Apr 01 06:00:30 UTC 2024","Mon Apr 01 06:04:39 UTC 2024","248446","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Apr 01 06:15:29 UTC 2024","Mon Apr 01 06:15:33 UTC 2024","3702","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Mon Apr 01 03:48:30 UTC 2024","Mon Apr 01 03:48:34 UTC 2024","4021","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Apr 01 03:51:52 UTC 2024","Mon Apr 01 03:51:56 UTC 2024","4083","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Mon Apr 01 06:10:10 UTC 2024","Mon Apr 01 06:10:13 UTC 2024","2195","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Mon Apr 01 03:44:15 UTC 2024","Mon Apr 01 03:44:17 UTC 2024","1755","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Mon Apr 01 02:45:43 UTC 2024","Mon Apr 01 02:45:43 UTC 2024","24","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Mon Apr 01 02:46:05 UTC 2024","Mon Apr 01 02:46:26 UTC 2024","21681","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Mon Apr 01 03:57:32 UTC 2024","Mon Apr 01 03:57:49 UTC 2024","16825","","9. Client Portal - Home","","","","1. Check links",""
"passed","Mon Apr 01 06:15:33 UTC 2024","Mon Apr 01 06:15:37 UTC 2024","3827","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Mon Apr 01 06:14:43 UTC 2024","Mon Apr 01 06:15:03 UTC 2024","20364","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Mon Apr 01 03:49:12 UTC 2024","Mon Apr 01 03:49:13 UTC 2024","359","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Apr 01 02:50:47 UTC 2024","Mon Apr 01 02:51:05 UTC 2024","18694","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Apr 01 05:25:27 UTC 2024","Mon Apr 01 05:26:10 UTC 2024","43217","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Mon Apr 01 06:07:35 UTC 2024","Mon Apr 01 06:07:43 UTC 2024","8511","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Mon Apr 01 04:40:54 UTC 2024","Mon Apr 01 04:40:54 UTC 2024","233","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Mon Apr 01 06:09:56 UTC 2024","Mon Apr 01 06:10:02 UTC 2024","6296","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Mon Apr 01 02:51:06 UTC 2024","Mon Apr 01 02:51:10 UTC 2024","4225","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Mon Apr 01 03:54:25 UTC 2024","Mon Apr 01 03:55:35 UTC 2024","69961","","8. Sign Up new user","","","","1. Create a new user",""
